Packet ID,TIME,Size,eth.src,eth.dst,IP.src,IP.dst,IP.proto,port.src,port.dst
1710,1645404092,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,46682
1794,1645404092,107,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,74.125.200.189,149.171.0.34,6,443,20969
2811,1645404092,79,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,46682
4548,1645404092,66,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.189.173.2,149.171.0.34,6,443,2421
5262,1645404092,2974,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.189.173.2,149.171.0.34,6,443,2421
5263,1645404092,3342,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.189.173.2,149.171.0.34,6,443,2421
6446,1645404093,105,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.189.173.2,149.171.0.34,6,443,2421
7684,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.189.173.2,149.171.0.34,6,443,2421
7685,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.189.173.2,149.171.0.34,6,443,2421
7708,1645404093,488,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,20.189.173.2,149.171.0.34,6,443,2421
8406,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,2185
8416,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,20.189.173.2,6,2421,443
8663,1645404093,177,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.67.10,149.171.0.34,6,443,36738
11145,1645404093,79,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,2185
11159,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.10,6,2185,443
16813,1645404093,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,8403,443
16877,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,8403
16900,1645404093,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.0.34,6,443,44917
16920,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.15,6,44917,443
17077,1645404093,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,25375,443
17140,1645404093,78,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,25375,443
17145,1645404093,78,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,8403,443
17156,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,25375
17158,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,25375
17162,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,8403,443
17163,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,8403
17164,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,25375,443
17170,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,8403
17173,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,25375,443
17178,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,8403
17181,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,25375
17199,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,8403,443
17414,1645404093,105,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.111.224.0,149.171.0.34,6,443,18236
17416,1645404093,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.111.224.0,6,18236,443
21512,1645404094,86,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.18,6,30072,443
21513,1645404094,83,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.10,6,1973,443
21525,1645404094,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,1973
21526,1645404094,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.18,149.171.0.34,6,443,30072
22507,1645404094,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.0.34,6,443,38483
22515,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.15,6,38483,443
23629,1645404094,106,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,74.125.200.189,149.171.0.34,6,443,33989
23632,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,74.125.200.189,6,33989,443
23680,1645404094,79,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,1973
23685,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.10,6,1973,443
24434,1645404094,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.0.34,6,443,37931
24437,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.15,6,37931,443
26270,1645404094,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.0.34,6,443,51257
26274,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.15,6,51257,443
26481,1645404094,82,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.18,149.171.0.34,6,443,30072
26491,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.18,6,30072,443
29999,1645404094,1131,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,210.215.73.212,6,16436,443
30036,1645404094,1131,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,210.215.73.212,149.171.0.34,6,443,16436
30048,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,210.215.73.212,6,16436,443
32569,1645404095,1494,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.3,6,22669,443
32570,1645404095,74,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.3,6,22669,443
32573,1645404095,1170,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.3,6,22669,443
32924,1645404095,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.3,149.171.0.34,6,443,22669
33084,1645404095,2143,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.3,149.171.0.34,6,443,22669
33096,1645404095,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.3,6,22669,443
33429,1645404095,1514,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.3,149.171.0.34,6,443,22669
33432,1645404095,66,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.3,6,22669,443
33477,1645404095,83,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.10,6,44265,443
33478,1645404095,83,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.10,6,42827,443
33479,1645404095,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,42827
33480,1645404095,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,44265
35026,1645404095,79,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,44265
35049,1645404095,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.10,6,44265,443
35069,1645404095,79,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,157.240.8.10,149.171.0.34,6,443,42827
35074,1645404095,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,157.240.8.10,6,42827,443
