Packet ID,TIME,Size,eth.src,eth.dst,IP.src,IP.dst,IP.proto,port.src,port.dst
133,1648005993,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,5871
150,1648005993,126,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,5871
151,1648005993,128,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,5871
152,1648005993,85,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,5871
153,1648005993,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,5871
154,1648005993,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,5871
164,1648005993,296,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,22803
165,1648005993,85,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,22803
166,1648005993,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,22803
167,1648005993,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,22803
170,1648005993,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.66.202,149.171.0.34,6,443,6731
240,1648005993,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.66.202,149.171.0.34,6,443,6731
241,1648005993,85,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.66.202,149.171.0.34,6,443,6731
242,1648005993,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.66.202,149.171.0.34,6,443,6731
243,1648005993,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.66.202,149.171.0.34,6,443,6731
244,1648005993,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,22803
724,1648005993,121,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,22803
725,1648005993,103,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,22803
1190,1648005993,107,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,74.125.24.189,149.171.0.34,6,443,33444
1490,1648005994,93,3c:61:04:d2:28:2a,b8:38:61:70:8c:c0,18.67.93.113,149.171.0.34,6,443,34742
1493,1648005994,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1532,1648005994,141,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1533,1648005994,159,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1534,1648005994,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1546,1648005994,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1725,1648005994,95,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.98.8.66,149.171.0.34,6,443,56457
1726,1648005994,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.98.8.66,6,56457,443
1784,1648005995,145,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,142.250.204.3,6,4897,443
1785,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1814,1648005995,163,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1815,1648005995,128,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1816,1648005995,85,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1817,1648005995,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1818,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,142.250.204.3,6,4897,443
1819,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,142.250.204.3,6,4897,443
1822,1648005995,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,142.250.204.3,6,4897,443
1823,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,142.250.204.3,149.171.0.34,6,443,4897
1912,1648005995,74,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1913,1648005995,66,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1914,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1915,1648005995,710,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1916,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1924,1648005995,816,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1925,1648005995,116,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1926,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1927,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1933,1648005995,138,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1934,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1938,1648005995,98,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,40.100.145.162,149.171.0.34,6,443,20719
1939,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,40.100.145.162,6,20719,443
1940,1648005995,224,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1941,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1942,1648005995,85,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1943,1648005995,1423,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1944,1648005995,1484,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1945,1648005995,934,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1950,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1951,1648005995,85,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
1952,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1958,1648005995,106,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,74.125.24.189,149.171.0.34,6,443,21184
1961,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,74.125.24.189,6,21184,443
1988,1648005995,748,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1989,1648005995,713,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1990,1648005995,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
1991,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2003,1648005995,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2005,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2006,1648005995,379,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2007,1648005995,256,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2008,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2009,1648005995,1434,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2010,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2011,1648005995,813,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2012,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2013,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2041,1648005995,580,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2042,1648005995,363,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2044,1648005995,345,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2045,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2046,1648005995,302,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2047,1648005995,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2048,1648005995,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2049,1648005995,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,46952,443
2050,1648005995,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,46952
2098,1648005996,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.24.42,6,9219,443
2099,1648005996,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,9219
2100,1648005996,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.24.42,6,9219,443
2104,1648005996,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.0.34,6,443,5207
2105,1648005996,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.108.40.15,6,5207,443
2106,1648005996,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.24.42,6,37741,443
2108,1648005996,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.24.42,149.171.0.34,6,443,37741
2109,1648005996,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.24.42,6,37741,443
2133,1648005996,95,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.98.8.34,149.171.0.34,6,443,2074
2134,1648005996,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,52.98.8.34,6,2074,443
2516,1648005996,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,104.149.142.86,149.171.0.34,6,49841,4032
3085,1648005997,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.65,6,41361,443
3086,1648005997,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.65,149.171.0.34,6,443,41361
3094,1648005997,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.65,6,41361,443
3460,1648005997,1083,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,210.215.73.212,6,40777,443
3469,1648005997,1131,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,210.215.73.212,149.171.0.34,6,443,40777
3470,1648005997,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,210.215.73.212,6,40777,443
3549,1648005998,93,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,13558,443
3550,1648005998,93,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,172.217.167.78,149.171.0.34,6,443,13558
3551,1648005998,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.0.34,172.217.167.78,6,13558,443
