Packet ID,TIME,Size,eth.src,eth.dst,IP.src,IP.dst,IP.proto,port.src,port.dst
122,1645404091,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.130,149.171.144.58,6,443,53210
124,1645404091,178,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.130,149.171.144.58,6,443,53210
2011,1645404092,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.130,149.171.144.58,6,443,53210
2020,1645404092,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.130,149.171.144.58,6,443,53210
2023,1645404092,138,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.130,149.171.144.58,6,443,53210
2040,1645404092,850,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.130,149.171.144.58,6,443,53210
3749,1645404092,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,162.125.19.130,149.171.144.58,6,443,53210
8109,1645404093,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
12615,1645404093,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
25540,1645404094,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.98.0.146,6,53204,443
25553,1645404094,66,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.98.0.146,149.171.144.58,6,443,53204
28567,1645404094,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
28568,1645404094,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
32109,1645404095,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
41762,1645404096,75,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,139.196.224.164,17,62102,8702
